id;Группа тем;Тема
7244;Благоустройство;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
7245;Социальное обслуживание и защита;Дети и многодетные семьи
7246;Социальное обслуживание и защита;Оказание гос. соц. помощи
7247;ЖКХ;Жалобы на управляющие компании
7248;Дороги;Ремонт дороги
7249;Социальное обслуживание и защита;Оказание гос. соц. помощи
7250;Образование;Образовательный процесс
7251;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7252;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7253;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7254;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7255;Социальное обслуживание и защита;Дети и многодетные семьи
7256;Здравоохранение/Медицина;Профильный осмотр
7257;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7258;Дороги;Ремонт дороги
7259;Здравоохранение/Медицина;Очередь
7260;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7261;Образование;Содержание гос. образовательных организаций
7262;Социальное обслуживание и защита;Спецпроекты
7263;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7264;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7265;Дороги;Ремонт дороги
7266;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7267;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7268;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7269;Социальное обслуживание и защита;Дети и многодетные семьи
7270;Дороги;Содержание, ремонт и обустройство тротуаров
7271;Благоустройство;★ Неисправные фонари освещения
7272;Благоустройство;Ремонт дороги
7273;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7274;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7275;Коронавирус;Тесты на коронавирус
7276;Социальное обслуживание и защита;Дети и многодетные семьи
7277;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7278;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7279;ЖКХ;Отсутствие холодной воды
7280;Социальное обслуживание и защита;Дети и многодетные семьи
7281;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7282;Социальное обслуживание и защита;Дети и многодетные семьи
7283;ЖКХ;★ Прорыв трубы/трубопровода
7284;Социальное обслуживание и защита;Дети и многодетные семьи
7285;Социальное обслуживание и защита;Дети и многодетные семьи
7286;ЖКХ;Предложение по благоустройству
7287;Социальное обслуживание и защита;Дети и многодетные семьи
7288;ЖКХ;Содержание, ремонт и обустройство тротуаров
7289;Дороги;Ремонт дороги
7290;ЖКХ;Жалобы на управляющие компании
7291;Дороги;Ремонт дороги
7292;Социальное обслуживание и защита;Дети и многодетные семьи
7293;Социальное обслуживание и защита;Дети и многодетные семьи
7294;Социальное обслуживание и защита;Оказание гос. соц. помощи
7295;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7296;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7297;Социальное обслуживание и защита;Оказание гос. соц. помощи
7298;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7299;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7300;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7301;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7302;Социальное обслуживание и защита;Пенсионеры и ветераны
7303;Общественный транспорт;График движения общественного транспорта
7304;Социальное обслуживание и защита;Жалобы на управляющие компании
7305;Здравоохранение/Медицина;Льготные лекарства
7306;Коронавирус;Тесты на коронавирус
7307;Дороги;Ремонт дороги
7308;ЖКХ;Ненадлежащее качество или отсутствие отопления
7309;Благоустройство;Вырубка деревьев, кустарников
7310;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7311;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7312;Социальное обслуживание и защита;Дети и многодетные семьи
7313;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7314;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7315;Благоустройство;Уборка территорий
7316;Дороги;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
7317;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7318;ЖКХ;Жалобы на управляющие компании
7319;Социальное обслуживание и защита;Оказание гос. соц. помощи
7320;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7321;Социальное обслуживание и защита;Дети и многодетные семьи
7322;Социальное обслуживание и защита;Дети и многодетные семьи
7323;Дороги;Уборка территорий
7324;Дороги;Пробки
7325;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7326;Благоустройство;★ Открытые канализационные люки
7327;Дороги;Освещение неисправно или отсутствует
7328;Здравоохранение/Медицина;Льготные лекарства
7329;Безопасность;Отлов безнадзорных собак и кошек
7330;ЖКХ;Жалобы на управляющие компании
7331;ЖКХ;Жалобы на управляющие компании
7332;Социальное обслуживание и защита;Дети и многодетные семьи
7333;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7334;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7335;ЖКХ;Ненадлежащее качество или отсутствие отопления
7336;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7337;Социальное обслуживание и защита;Оказание гос. соц. помощи
7338;ЖКХ;Отсутствие холодной воды
7339;Образование;Дистанционное образование
7340;Благоустройство;Безопасность общественных пространств
7341;Общественный транспорт;Содержание остановок
7342;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7343;Социальное обслуживание и защита;Оказание гос. соц. помощи
7344;Социальное обслуживание и защита;Оказание гос. соц. помощи
7345;Образование;Образовательный процесс
7346;ЖКХ;Жалобы на управляющие компании
7347;Социальное обслуживание и защита;Оказание гос. соц. помощи
7348;Социальное обслуживание и защита;Дети и многодетные семьи
7349;ЖКХ;Отсутствие электричества
7350;Здравоохранение/Медицина;Ошибки врачей, халатность
7351;Коронавирус;Порядок и пункты вакцинации
7352;Социальное обслуживание и защита;Дети и многодетные семьи
7353;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7354;Здравоохранение/Медицина;Жалобы на управляющие компании
7355;Социальное обслуживание и защита;Оказание гос. соц. помощи
7356;Дороги;Ремонт дороги
7357;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7358;Благоустройство;Уборка территорий
7359;ЖКХ;★ Наледь и сосульки на кровле
7360;Социальное обслуживание и защита;Дети и многодетные семьи
7361;ЖКХ;Жалобы на управляющие компании
7362;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7363;Коронавирус;Коронавирусные ограничения
7364;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7365;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7366;Социальное обслуживание и защита;Дети и многодетные семьи
7367;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7368;Здравоохранение/Медицина;Содержание больниц
7369;Образование;Безопасность образовательного процесса
7370;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7371;Социальное обслуживание и защита;Дети и многодетные семьи
7372;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7373;Социальное обслуживание и защита;Дети и многодетные семьи
7374;Благоустройство;★ Открытые канализационные люки
7375;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7376;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7377;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7378;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7379;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7380;ЖКХ;Жалобы на управляющие компании
7381;Дороги;Ремонт дороги
7382;Здравоохранение/Медицина;Тесты на коронавирус
7383;Безопасность;Отлов безнадзорных собак и кошек
7384;ЖКХ;Ненадлежащее качество или отсутствие отопления
7385;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7386;Социальное обслуживание и защита;Дети и многодетные семьи
7387;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7388;Здравоохранение/Медицина;Жалобы на врачей
7389;ЖКХ;Жалобы на управляющие компании
7390;Социальное обслуживание и защита;Оказание гос. соц. помощи
7391;Общественный транспорт;График движения общественного транспорта
7392;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7393;Здравоохранение/Медицина;Льготные лекарства
7394;Дороги;Ремонт дороги
7395;Здравоохранение/Медицина;Порядок и пункты вакцинации
7396;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7397;Социальное обслуживание и защита;Оказание гос. соц. помощи
7398;Социальное обслуживание и защита;Дети и многодетные семьи
7399;Безопасность;Учреждения культуры
7400;ЖКХ;Завышение платы за коммунальные услуги
7401;Социальное обслуживание и защита;Оказание гос. соц. помощи
7402;Благоустройство;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7403;Социальное обслуживание и защита;Дети и многодетные семьи
7404;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7405;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7406;Здравоохранение/Медицина;Жалобы на врачей
7407;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7408;Здравоохранение/Медицина;Очередь
7409;ЖКХ;Завышение платы за коммунальные услуги
7410;Связь и телевидение;Спецпроекты
7411;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7412;Дороги;Ремонт дороги
7413;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7414;Социальное обслуживание и защита;Оказание гос. соц. помощи
7415;Социальное обслуживание и защита;Дети и многодетные семьи
7416;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7417;Здравоохранение/Медицина;Вакцинация
7418;Коронавирус;Тесты на коронавирус
7419;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7420;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7421;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7422;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7423;Благоустройство;Уборка территорий
7424;Здравоохранение/Медицина;Профильный осмотр
7425;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7426;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7427;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7428;ЖКХ;Ненадлежащее качество или отсутствие отопления
7429;Социальное обслуживание и защита;Оказание гос. соц. помощи
7430;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7431;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7432;Социальное обслуживание и защита;Оказание гос. соц. помощи
7433;Социальное обслуживание и защита;Дети и многодетные семьи
7434;Социальное обслуживание и защита;Дети и многодетные семьи
7435;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7436;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7437;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7438;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7439;Социальное обслуживание и защита;Оказание гос. соц. помощи
7440;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7441;Социальное обслуживание и защита;Дети и многодетные семьи
7442;Здравоохранение/Медицина;Содержание больниц
7443;Здравоохранение/Медицина;Льготные лекарства
7444;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7445;Дороги;Ремонт дороги
7446;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7447;Социальное обслуживание и защита;Дети и многодетные семьи
7448;Общественный транспорт;График движения общественного транспорта
7449;Социальное обслуживание и защита;Оказание гос. соц. помощи
7450;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7451;Социальное обслуживание и защита;"МФЦ ""Мои документы"""
7452;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7453;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7454;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7455;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7456;Мусор/Свалки/ТКО;Раздельная сортировка отходов
7457;Социальное обслуживание и защита;Дети и многодетные семьи
7458;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7459;Здравоохранение/Медицина;Ненадлежащее качество или отсутствие отопления
7460;Благоустройство;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7461;Здравоохранение/Медицина;Льготные лекарства
7462;Образование;Дистанционное образование
7463;Социальное обслуживание и защита;Оказание гос. соц. помощи
7464;Социальное обслуживание и защита;Дети и многодетные семьи
7465;Коронавирус;Сертификаты и QR-коды
7466;Общественный транспорт;График движения общественного транспорта
7467;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7468;Социальное обслуживание и защита;Дети и многодетные семьи
7469;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7470;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7471;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7472;Социальное обслуживание и защита;Дети и многодетные семьи
7473;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7474;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7475;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7476;ЖКХ;Отсутствие горячей воды
7477;Благоустройство;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7478;ЖКХ;Ненадлежащее качество или отсутствие отопления
7479;Благоустройство;★ Неисправные фонари освещения
7480;Дороги;Ремонт дороги
7481;Коронавирус;Тесты на коронавирус
7482;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7483;Общественный транспорт;График движения общественного транспорта
7484;Дороги;Ремонт дороги
7485;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7486;ЖКХ;Жалобы на управляющие компании
7487;Социальное обслуживание и защита;Дети и многодетные семьи
7488;ЖКХ;Завышение платы за коммунальные услуги
7489;Социальное обслуживание и защита;Дети и многодетные семьи
7490;Социальное обслуживание и защита;Оказание гос. соц. помощи
7491;Здравоохранение/Медицина;Коронавирусные ограничения
7492;Здравоохранение/Медицина;Очередь
7493;Социальное обслуживание и защита;Дети и многодетные семьи
7494;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7495;Мусор/Свалки/ТКО;★ Информационно-техническая поддержка
7496;Образование;★ Информационно-техническая поддержка
7497;ЖКХ;Завышение платы за коммунальные услуги
7498;Дороги;Предложить установку нового лежачего полицейского (ИДН)
7499;Социальное обслуживание и защита;Оказание гос. соц. помощи
7500;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7501;Благоустройство;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
7502;Социальное обслуживание и защита;Дети и многодетные семьи
7503;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7504;Коронавирус;Доступность вакцин
7505;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7506;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7507;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7508;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7509;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7510;Здравоохранение/Медицина;Льготные лекарства
7511;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7512;Общественный транспорт;Льготы на проезд и тарифы
7513;ЖКХ;Жалобы на управляющие компании
7514;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7515;Дороги;Содержание, ремонт и обустройство тротуаров
7516;Благоустройство;★ Открытые канализационные люки
7517;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7518;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7519;ЖКХ;Ненадлежащее качество или отсутствие отопления
7520;Коронавирус;Тесты на коронавирус
7521;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7522;Социальное обслуживание и защита;Дети и многодетные семьи
7523;Социальное обслуживание и защита;Аварийное жилье/переселение
7524;Дороги;Ремонт дороги
7525;Благоустройство;Разрушение тротуаров и пешеходных дорожек
7526;Социальное обслуживание и защита;Дети и многодетные семьи
7527;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7528;Общественный транспорт;Изменить или отменить маршрут
7529;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7530;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7531;Социальное обслуживание и защита;Оказание гос. соц. помощи
7532;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7533;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7534;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7535;Социальное обслуживание и защита;Оказание гос. соц. помощи
7536;Социальное обслуживание и защита;Оказание гос. соц. помощи
7537;Благоустройство;Уборка территорий
7538;Социальное обслуживание и защита;Оказание гос. соц. помощи
7539;Здравоохранение/Медицина;Вакцинация
7540;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7541;Общественный транспорт;График движения общественного транспорта
7542;Благоустройство;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
7543;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7544;ЖКХ;Жалобы на управляющие компании
7545;Общественный транспорт;Содержание остановок
7546;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7547;Общественный транспорт;Изменить или отменить маршрут
7548;Образование;Содержание гос. образовательных организаций
7549;Коронавирус;Порядок и пункты вакцинации
7550;Дороги;Строительство зданий
7551;Социальное обслуживание и защита;Оказание гос. соц. помощи
7552;Социальное обслуживание и защита;Пенсионеры и ветераны
7553;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7554;Благоустройство;Освещение неисправно или отсутствует
7555;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7556;Дороги;Ремонт дороги
7557;ЖКХ;Отсутствие горячей воды
7558;Дороги;Ремонт дороги
7559;Здравоохранение/Медицина;Очередь
7560;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7561;Социальное обслуживание и защита;Дети и многодетные семьи
7562;Здравоохранение/Медицина;Очередь
7563;Социальное обслуживание и защита;Оказание гос. соц. помощи
7564;Социальное обслуживание и защита;Оказание гос. соц. помощи
7565;ЖКХ;Ремонт подъездов
7566;ЖКХ;Качество электроснабжения
7567;Здравоохранение/Медицина;Содержание больниц
7568;Благоустройство;Уборка территорий
7569;Коронавирус;Порядок и пункты вакцинации
7570;Социальное обслуживание и защита;Дети и многодетные семьи
7571;ЖКХ;Отсутствие электричества
7572;Коронавирус;Тесты на коронавирус
7573;Социальное обслуживание и защита;Дети и многодетные семьи
7574;Образование;Дистанционное образование
7575;Социальное обслуживание и защита;Дети и многодетные семьи
7576;Социальное обслуживание и защита;Оказание гос. соц. помощи
7577;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7578;Здравоохранение/Медицина;Льготные лекарства
7579;Благоустройство;★ Открытые канализационные люки
7580;Образование;Дистанционное образование
7581;Социальное обслуживание и защита;Оказание гос. соц. помощи
7582;Социальное обслуживание и защита;Дети и многодетные семьи
7583;Социальное обслуживание и защита;Дети и многодетные семьи
7584;Коронавирус;Тесты на коронавирус
7585;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7586;Благоустройство;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
7587;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7588;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7589;Коронавирус;Доступность вакцин
7590;Дороги;Ремонт дороги
7591;ЖКХ;Жалобы на управляющие компании
7592;Благоустройство;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
7593;Дороги;Ремонт дороги
7594;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7595;Социальное обслуживание и защита;Аварийное жилье/переселение
7596;Образование;Коронавирусные ограничения
7597;Благоустройство;Уборка территорий
7598;Социальное обслуживание и защита;Аварийное жилье/переселение
7599;ЖКХ;Очередь
7600;Благоустройство;Вырубка деревьев, кустарников
7601;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7602;Дороги;Ремонт дороги
7603;ЖКХ;Ненадлежащее качество или отсутствие отопления
7604;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7605;Социальное обслуживание и защита;Дети и многодетные семьи
7606;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7607;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7608;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7609;ЖКХ;Ненадлежащее качество или отсутствие отопления
7610;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7611;Здравоохранение/Медицина;Очередь
7612;ЖКХ;Жалобы на управляющие компании
7613;Благоустройство;Отсутствие фонарей освещения
7614;Дороги;Ремонт дороги
7615;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7616;ЖКХ;Жалобы на управляющие компании
7617;Социальное обслуживание и защита;Дети и многодетные семьи
7618;ЖКХ;Ненадлежащее качество или отсутствие отопления
7619;ЖКХ;Ненадлежащая уборка подъездов и лифтов
7620;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7621;Дороги;Ремонт дороги
7622;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7623;Социальное обслуживание и защита;Дети и многодетные семьи
